Version (major / minor):;2;35;;;;;;;;;;;;
506;ChC_ChargersState;ch1OK, ch2OK, ch3OK, ch1Alive, ch2Alive, ch3Alive, pad, ch1HiTemp, ch1OPOff, ch1ACFail, ch1Short, ch1OLP, ch1OVP, ch1OTP, ch1FanFail, ch2HiTemp, ch2OPOff, ch2ACFail, ch2Short, ch2OLP, ch2OVP, ch2OTP, ch2FanFail, ch3HiTemp, ch3OPOff, ch3ACFail, ch3Short, ch3OLP, ch3OVP, ch3OTP, ch3FanFail;bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, uint8_t, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1;T/F, T/F, T/F, T/F, T/F, T/F, -, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F;;1;1;1;State of the MW3200 chargers connected to the ChC;ChC;FUC;;;;1;
507;ChC_MaxChargingCurrents;currentInMax, currentOutMax;float, float;A, A;;1;1;1;Maximum input and output current of the ChC;ChC;;;;;1;
508;ChC_ChargerSetpoint;current, voltage;float, float;A, V;;1;1;1;Setpoint (I_OUT, V_OUT) that is written to the chargers;ChC;;;;;1;
509;ChC_BusMeasurement;voltage, current;float, float;V, A;;1;1;1;Voltage and current measured at the bus side of the chargers;ChC;BoC;;0, 1;;1;
510;ChC_ValidatedPVCurrent;current, method;float, PVCurrentMethod;A, method;;1;1;1;PV current used by the ChC and the method by which it was obtained;ChC;;;;;1;
511;ChC_InputCurrent;current;float;A;;1;1;1;RMS current measured at the input of the charger;ChC;;;;;1;
512;ChC_InputVoltage;voltage;float;V;;1;1;1;Voltage measured at the input of the charger;ChC;;;;;1;
515;ChC_PIControllerState;e, integral;float, float;A, A.s;;1;1;1;State of the PI controller on the ChC;ChC;;;;;1;
517;ChC_ControllerSetting;targetCurrent, limitingFactor, eta, enabled;float, ChCLimitingFactor, uint8_t, bool:1;A, Factor, %, T/F;;1;1;1;Target current and limiting factor of the BMS;ChC;;;;;1;
518;ChC_ChargerOutputVoltages;ch1Voltage, ch2Voltage, ch3Voltage;uint16_t, uint16_t, uint16_t;dV, dV, dV;;1;1;1;Output voltages of the separate chargers connected to the ChC;ChC;;;0, 1, 2;;1;
519;ChC_ChargerOutputCurrents;ch1Current, ch2Current, ch3Current;uint16_t, uint16_t, uint16_t;dA, dA, dA;;1;1;1;Output currents of the separate chargers connected to the ChC;ChC;;;0, 1, 2;;1;
520;ChC_ProtocolState;state, current, hasProximity;SAEJ1772State, SAEJ1772Current, bool;state, current, T/F;;1;1;1;State of the SAE J1772 protocol connection on the ChC;ChC;;;;;1;
521;ChC_ProtocolMeasurement;cpDutyCycle, ppVoltage;float, float;%, V;;1;1;1;Measurements of the charging port analog values;ChC;;;;;1;
522;ChC_ChargingControlState;state, dualChargerSubState, tripleChargerSubState;ChargingState, DualChargerStrategySubState, TripleChargerStrategySubState;state, state, state;;1;1;1;State of the ChC charging control;ChC;;;;;1;
523;ChC_ProtocolAmpacity;ampacity;float;A;;1;1;1;Ampacity according to the SAE J1772 protocol in case where the ampacity is equation-based;ChC;;;;;1;
524;ChC_ChargerTemperatures;ch1Temperature, ch2Temperature, ch3Temperature;int16_t, int16_t, int16_t;ddegC, ddegC, ddegC;;1;1;1;Charger temperatures;ChC;;;;;1;
528;ChC_CurrentCounter;wh, as;int32_t, int32_t;Wh, As;;1;1;1;Current counter of the ChC since last start;ChC;;;0, 1;;5;
550;ChC_DARE_ProtocolSetpoint;state, current;SAEJ1772State, SAEJ1772Current;state, current;;1;1;1;Debugging setpoint of the ChC;ChC DARE setpoint;ChC;;;;0;
600;FUC_Version;swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor;uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t;#, #, #, #, #, #;;1;1;1;FUC version message;FUC;;;;;1;
601;FUC_Keepalive;lvcAlive, bmsAlive, acuAlive, pvcAlive, chcAlive, ssbAlive, rauxAlive, bbAlive, mk5Alive, pscbAlive;bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1;T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F;;1;1;1;FUC keepalive message;FUC;;;;;1;
602;FUC_PrimaryDisplayMode;mode;PrimaryDisplayMode;state;;1;1;1;The mode of the primary display;FUC;BoC;;;;1;
603;FUC_Input;heater, fan, dss, leftDoorOpen, rightDoorOpen;bool:1, bool:1, bool: 1, bool: 1, bool: 1;On/Off, On/Off, On/Off, T/F, T/F;;1;1;1;The state of the physical inputs present on the FUC;FUC;SSB;;;;1;
604;FUC_Telltales;leftIndicatorBroken, rightIndicatorBroken, leftLowBeamBroken, rightLowBeamBroken;bool: 1, bool: 1, bool: 1, bool: 1;T/F, T/F, T/F, T/F;;1;1;1;Whether the lights on the FUC are broken;FUC;;;;;1;
605;FUC_CMSState;state;CMSState;state;;1;1;1;The state of the CMS according to the FUC;FUC;;;;;1;
606;FUC_CMSRightError;error;CMSError;error;;1;1;1;Error of the left CMS screen and camera;FUC;;;;;1;
607;FUC_EnableExternalCharging;enable;uint8_t;T/F;;1;1;1;Whether external charging should be enabled upon exiting Drive state;FUC;;;;;1;
608;FUC_SyncTimer;timer;uint64_t;us;;1;1;1;Sync timer for the FUC;FUC;;;;;1;
609;FUC_LogFlag;flag;bool;-;;1;1;1;Log flag for the FUC;FUC;;;;;1;
620;FUC_DemoTurnOn;turnOn;bool;T/F;;1;1;1;Enables the demo turn-on sequence for during the car presentation;;FUC;;;;1;
641;SAC_TxPDO1;actualCurrent, actualTorque;int32_t, int16_t;-, -;;1;1;1;Actual torque and current of the Steering Actuator;SAC;ACU;;;;0;
642;BAC_TxPDO1;actualCurrent, actualTorque;int32_t, int16_t;-, -;;1;1;1;Actual torque and current of the Braking Actuator;BAC;ACU;;;;0;
643;MPPT1_VoltageOutAndPowerIn;voltageOut, powerIn;float, float;V, mW;;1;1;1;MPPT 1 voltage OUT and power IN;MPPT1;PvC;;0, 1;;1;
644;MPPT2_VoltageOutAndPowerIn;voltageOut, powerIn;float, float;V, mW;;1;1;1;MPPT 2 voltage OUT and power IN;MPPT2;PvC;;0, 1;;1;
645;MPPT3_VoltageOutAndPowerIn;voltageOut, powerIn;float, float;V, mW;;1;1;1;MPPT 3 voltage OUT and power IN;MPPT3;PvC;;0, 1;;1;
700;SSB_Version;swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor;uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t;#, #, #, #, #, #;;1;1;1;SSB version message;SSB;;;;;1;
701;SSB_WiperSpeed;speed, squirt;WiperSpeed, bool;wiper speed, T/F;;1;1;1;Speed of the wiper and whether to active the washer pump;SSB;FUC;;;;1;
702;SSB_CruiseControl;setpoint, enable;float, bool;m/s, T/F;;1;1;1;Whether to enable cruise control and the setpoint;SSB;ACU;;;;1;
703;SSB_Honk;enable;bool: 1;On/Off;;1;1;1;State of the honk according to the SSB;SSB;FUC;;;;1;
704;SSB_WSCButtons;enableRegen, brightenScreen, enableRearCamera;bool: 1, bool: 1, bool: 1;T/F, T/F, T/F;;1;1;1;Toggling of WSC-specific functions according to the SSB;SSB;ACU, PsCB, RAUX;;;;1;
750;RAUX_Keepalive;acuAlive, ssbAlive;bool:1, bool:1;T/F, T/F;;1;1;1;Keepalive of the RAUX;RAUX;;;;;1;
751;RAUX_Version;swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor;uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t;#, #, #, #, #, #;;1;1;1;RAUX version message;RAUX;;;;;1;
752;RAUX_LightsStatus;rearLightBroken, rearLeftIndicatorBroken, rearRightIndicatorBroken, rearFogLightBroken;bool: 1, bool: 1, bool: 1, bool: 1;T/F, T/F, T/F, T/F;;1;1;1;Status of the lights connected to the RAUX;RAUX;;;;;1;
769;InvL_Status_TritiumWS22;outputVoltagePWM, motorCurrent, velocity, busCurrent, bVUL, bVLL, ipmMotorTemp, reserved2, reserved, softwareOCError, dCBusOVError, badMotorPositionError, watchdogReset, configReadError, _15VVoltageLockOutError, uVLOdesaturationFault, motorOverSpeedError, reserved3, activeMotor, transmitErrCount, receiveErrCount;bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, uint8_t, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, uint8_t, uint16_t, uint8_t, uint8_t;N/A, t/f, t/f, t/f, t/f, t/f, t/f, t/f, N/A, t/f, t/f, t/f, t/f, t/f, t/f, t/f, t/f, N/A, nr, nr, nr;;1;1;1;Inverter status information (Tritium WS22 spec);ACU, InvL;ACU, MK5;;;;1;
770;InvL_BusMeasurement_TritiumWS22;voltage, current;float, float;V, A;;1;1;1;Inverter bus measurement;InvL, ACU;ACU, MK5;;;;1;
771;InvL_VelocityMeasurement_TritiumWS22;motorVelocity, vehicleVelocity;float, float;RPM, m/s;;1;1;1;Inverter velocity measurement;InvL, ACU;ACU, MK5;;;;1;
800;BB_DSSState;state;DSSState;State;;1;1;1;State of the autonomous system;BB;FUC;;;;1;
850;AVC_Version;swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor;uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t;#, #, #, #, #, #;;1;1;1;AVC version message;AVC;;;;;1;
851;AVC_Keepalive;avcAlive;bool: 1;T/F;;1;1;1;Keepalive of the AVC;AVC;;;;;1;
852;AVC_State;state;AVCState;state;;1;1;1;State of the AVC;AVC;;;;;1;
853;AVC_DiagnosticGeneral;manualOverrideEnabled, fanEnabled;bool: 1, bool: 1;T/F, T/F;;1;1;1;AVC general diagnostic information;AVC;;;;;1;
854;AVC_DiagnosticTemp;NTCTemp1, NTCTemp2;float, float;Centigrade, Centigrade;;1;1;1;AVC diagnostic information of temperatures;AVC;;;;;1;
855;AVC_DiagnosticEE;converterVoltage, converterCurrent;float, float;Volt, Ampere;;1;1;1;AVC diagnostic information of electronics;AVC;;;;;1;
856;AVC_Servicing;disableConverter;bool: 1;T/F;;1;1;1;Message to manually disabled the converters of the AVC;AVC;;;;;1;
897;SAC_TxPDO2;statusWord, opMode;uint16_t, EPOS4OpMode;status word, opmode;;1;1;1;Status word and operation mode of the Steering Actuator Controller;SAC;ACU;;;;0;
898;BAC_TxPDO2;statusWord, opMode;uint16_t, EPOS4OpMode;status word, opmode;;1;1;1;Status word and operation mode of the Braking Actuator Controller;BAC;ACU;;;;0;
903;MK5_17Compat_ACUOverrule;dnr, overruleDNR, throtSensor1On, throtSensor2On, brakeSensor1On, brakeSensor2On, inverterLOn, inverterROn, regenBrakingOn;DNR, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1;RND, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F;;1;1;1;MK5 ACU overrule message (here for MCU '17 compatibility);MK5;ACU;;;;1;
1000;BoC_Request_PrimaryDisplayMode;requestState;PrimaryDisplayMode;state;;1;1;1;When HVI wants to request the primary screen to switch to a mode;BoC;FUC;;;;1;
1001;BoC_Request_Regenerative;enable;bool : 1;T/F;;1;1;1;When HVI wants to request enabling / disabling regenerative braking;BoC;ACU;;;;1;
1002;BoC_Request_Autonomy_Sensing;enable;bool: 1;T/F;;1;1;1;When HVI wants to request the LVC to turn on the Bluebox;BoC;LVC;;;;1;
1003;BoC_Request_Honk;placeHolder;uint8_t;placeHolder;;1;1;1;When the honk command is sent from the mobile app;BoC;FUC;;;;1;
1004;BoC_Request_VehicleState;requestState;VehicleState;state;;1;1;1;When HVI wants to request the LVC to switch to a vehicle state;BoC;LVC;;;;1;
1041;IVT_Msg_Command;commandByte, db1, db2, db3, db4, db5, db6, db7;uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t;-, -, -, -, -, -, -, -;;1;1;1;According to IVT datasheet;BMS;IVT;;;;1;
1050;PsCB_Version;swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor;uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t;#, #, #, #, #, #;;1;1;1;PsCB version message;PsCB;;;;;1;
1051;PsCB_Keepalive;lvcAlive, bmsAlive, acuAlive, pvcAlive, chcAlive, ssbAlive, fucAlive, rauxAlive, bbAlive, mk5Alive;bool:1, bool:1, bool:1, bool:1, bool:1, bool:1, bool:1, bool:1, bool:1, bool:1;T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F;;1;1;1;Keepalive message of the PsCB, containing whether it considers other controllers to be alive or not;PsCB;;;;;1;
1052;PsCB_CMSLeftError;error;CMSError;error;;1;1;1;Error of the left CMS screen and camera;PsCB;;;;;1;
1060;ESB_Version;swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor;uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t;#, #, #, #, #, #;;1;1;1;ESB version message;ESB;;;;;1;
1061;ESB_SliderPosition;position;float;0-1;;1;1;1;Position of the energy slider;ESB;;;;;1;
1080;BMS_Sat1_MetaCellVoltages1;cell1, cell2, cell3, cell4;uint16_t, uint16_t, uint16_t, uint16_t;mV, mV, mV, mV;;1;1;1;MetaCell voltages for satellite 1, cells 1 to 4;BMS;;;;;1;
1081;BMS_Sat1_MetaCellVoltages2;cell5, cell6, cell7, cell8;uint16_t, uint16_t, uint16_t, uint16_t;mV, mV, mV, mV;;1;1;1;MetaCell voltages for satellite 1, cells 5 to 8;BMS;;;;;1;
1082;BMS_Sat1_MetaCellVoltages3;cell9, cell10, cell11, cell12;uint16_t, uint16_t, uint16_t, uint16_t;mV, mV, mV, mV;;1;1;1;MetaCell voltages for satellite 1, cells 9 to 12;BMS;;;;;1;
1083;BMS_Sat2_MetaCellVoltages1;cell1, cell2, cell3, cell4;uint16_t, uint16_t, uint16_t, uint16_t;mV, mV, mV, mV;;1;1;1;MetaCell voltages for satellite 2, cells 1 to 4;BMS;;;;;1;
1084;BMS_Sat2_MetaCellVoltages2;cell5, cell6, cell7, cell8;uint16_t, uint16_t, uint16_t, uint16_t;mV, mV, mV, mV;;1;1;1;MetaCell voltages for satellite 2, cells 5 to 8;BMS;;;;;1;
1085;BMS_Sat2_MetaCellVoltages3;cell9, cell10, cell11, cell12;uint16_t, uint16_t, uint16_t, uint16_t;mV, mV, mV, mV;;1;1;1;MetaCell voltages for satellite 2, cells 9 to 12;BMS;;;;;1;
1086;BMS_Sat3_MetaCellVoltages1;cell1, cell2, cell3, cell4;uint16_t, uint16_t, uint16_t, uint16_t;mV, mV, mV, mV;;1;1;1;MetaCell voltages for satellite 3, cells 1 to 4;BMS;;;;;1;
1087;BMS_Sat3_MetaCellVoltages2;cell5, cell6, cell7, cell8;uint16_t, uint16_t, uint16_t, uint16_t;mV, mV, mV, mV;;1;1;1;MetaCell voltages for satellite 3, cells 5 to 8;BMS;;;;;1;
1088;BMS_Sat3_MetaCellVoltages3;cell9, cell10, cell11, cell12;uint16_t, uint16_t, uint16_t, uint16_t;mV, mV, mV, mV;;1;1;1;MetaCell voltages for satellite 3, cells 9 to 12;BMS;;;;;1;
1089;BMS_Sat1_Temperatures;chan1, chan2, chan3, chan4, chan5, chan6;uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t;°C, °C, °C, °C, °C, °C;;1;1;1;BMS satellite 1 temperature;BMS;;;;;1;
1090;BMS_Sat2_Temperatures;chan1, chan2, chan3, chan4, chan5, chan6;uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t;°C, °C, °C, °C, °C, °C;;1;1;1;BMS satellite 2 temperature;BMS;;;;;1;
1091;BMS_Sat3_Temperatures;chan1, chan2, chan3, chan4, chan5, chan6;uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t;°C, °C, °C, °C, °C, °C;;1;1;1;BMS satellite 3 temperature;BMS;;;;;1;
1100;MK5_GPS;lat, lon;float, float;decimal degrees, decimal degrees;;1;1;1;Last known GPS coördinates of the MK5;MK5;;;0, 1;;1;
1101;MK5_GPSMetaData;speed, heading;float, float;m/s, centidegrees;;1;1;1;Additional GPS data of speed and degrees from north;MK5;;;0;;1;
1102;MK5_Strat_GPS;lat, lon;float, float;decimal degrees, decimal degrees;;1;1;1;Last known GPS coördinates of the MK5;MK5;;;;;1;
1103;MK5_Strat_GPSMetaData;speed, heading;float, float;m/s, centidegrees;;1;1;1;Additional GPS data of speed and degrees from north;MK5;;;;;1;
1104;MK5_Tech_GPS;lat, lon;float, float;decimal degrees, decimal degrees;;1;1;1;Last known GPS coördinates of the MK5;MK5;;;;;1;
1105;MK5_Tech_GPSMetaData;speed, heading;float, float;m/s, centidegrees;;1;1;1;Additional GPS data of speed and degrees from north;MK5;;;;;1;
1106;MK5_GPSTimeStamp;timestamp;uint64_t;mSec since Epoch;;1;1;1;Additional GPS timestamp;MK5;;;0;;1;
1110;BMS_ServicingParams;overrideAcc, overrideHVIL, overrideIMD, overrideOvercurrent, resetSoC100;bool, bool, bool, bool, bool;T/F, T/F, T/F, T/F, T/F;;1;1;1;Parameters for disabling certain processes in the system during servicing or testing;;BMS;;;;1;
1111;Srv_BMS_BalancingControl;enableBalancing;bool;T/F;;1;1;1;Controls balancing on the BMS;Servicing;BMS;;;;1;
1130;Srv_CruiseControlOverride;setpoint, enable;float, bool;m/s, T/F;;1;1;1;Allows for overriding the Cruise Control over CAN;;ACU;;;;1;
1131;Srv_RegenOverride;enablePedalRegen;bool: 1;T/F;;1;1;1;Override flags for regenerative braking;ACU servicing;ACU;;;;1;
1185;InvL_Status_NLELocomoco;_unused1, internalOverTemperature, motorOverTemperature, overcurrent, undercurrent, overvoltage, undervoltage, _undefinedErrorBits, unused2, unused3, txErrCount, rxErrCount;uint16_t, bool:1, bool:1, bool:1, bool:1, bool:1, bool:1, uint8_t, uint8_t, uint16_t, uint8_t, uint8_t;-, -, -, -, -, -, -, -, -, -, -, -;;1;1;1;Inverter status information;InvR;ACU;;;;1;
1186;InvL_BusMeasurement_NLELocomoco;voltage, current;float, float;V, A;;1;1;1;Inverter bus measurement;InvL, ACU;ACU, MK5;0, 1;0, 1;;1;
1187;InvL_VelocityMeasurement_NLELocomoco;motorVelocity, vehicleVelocity;float, float;RPM, m/s;;1;1;1;Inverter velocity measurement;InvL, ACU;ACU, MK5;0, 1;0, 1;;1;
1195;InvL_TemperatureMeasurement_NLELocomoco;motorTemperature, heatsinkTemperature;float, float;deg C, deg C;;1;1;1;Inverter temperature measurement;InvL;ACU;;0, 1;;1;
1217;InvR_Status_NLELocomoco;_unused1, internalOverTemperature, motorOverTemperature, overcurrent, undercurrent, overvoltage, undervoltage, _undefinedErrorBits, unused2, unused3, txErrCount, rxErrCount;uint16_t, bool:1, bool:1, bool:1, bool:1, bool:1, bool:1, uint8_t, uint8_t, uint16_t, uint8_t, uint8_t;-, -, -, -, -, -, -, -, -, -, -, -;;1;1;1;Inverter status information;InvR;ACU;;;;1;
1218;InvR_BusMeasurement_NLELocomoco;voltage, current;float, float;V, A;;1;1;1;Inverter bus measurement;InvR, ACU;ACU, MK5;0, 1;0, 1;;1;
1219;InvR_VelocityMeasurement_NLELocomoco;motorVelocity, vehicleVelocity;float, float;RPM, m/s;;1;1;1;Inverter velocity measurement;InvR, ACU;ACU, MK5;0, 1;0, 1;;1;
1227;InvR_TemperatureMeasurement_NLELocomoco;motorTemperature, heatsinkTemperature;float, float;deg C, deg C;;1;1;1;Inverter temperature measurement;InvL;ACU;;0, 1;;1;
1152;InvR_DriveCommand_NLELocomoco;velocity, current;float, float;RPM, [0..1];;1;1;1;Inverter drive command;ACU;InvR;;;;1;
1153;InvR_Status_TritiumWS22;outputVoltagePWM, motorCurrent, velocity, busCurrent, bVUL, bVLL, ipmMotorTemp, reserved2, reserved, softwareOCError, dCBusOVError, badMotorPositionError, watchdogReset, configReadError, _15VVoltageLockOutError, uVLOdesaturationFault, motorOverSpeedError, reserved3, activeMotor, transmitErrCount, receiveErrCount;bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, uint8_t, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, uint8_t, uint16_t, uint8_t, uint8_t;N/A, t/f, t/f, t/f, t/f, t/f, t/f, t/f, N/A, t/f, t/f, t/f, t/f, t/f, t/f, t/f, t/f, N/A, nr, nr, nr;;1;1;1;Inverter status information (Tritium WS22 spec);ACU, InvL;ACU, MK5;;;;1;
1154;InvR_BusMeasurement_TritiumWS22;voltage, current;float, float;V, A;;1;1;1;Inverter bus measurement;InvR;ACU;;;;1;
1155;InvR_VelocityMeasurement_TritiumWS22;motorVelocity, vehicleVelocity;float, float;RPM, m/s;;1;1;1;Inverter velocity measurement;InvR;ACU;;;;1;
1120;InvL_DriveCommand_NLELocomoco;velocity, current;float, float;RPM, [0..1];;1;1;1;Inverter drive command;ACU;InvL;;;;1;
1281;InvL_DriveCommand_TritiumWS22;velocity, current;float, float;RPM, [0..1];;1;1;1;Inverter drive command;ACU;InvL;;;;1;
1297;IVT_Response;data;uint64_t;-;;1;1;1;IVT data;IVT;;;;;1;
1298;IVT_ResponseEcho;data;uint64_t;-;;1;1;1;IVT data echo dit is papa alfa hotel;BMS;;;;;1;
1313;IVT_Msg_Result_I;MuxID, IVT_Result_StateIVT_MsgCount, IVT_Msg_Result_I;int8_t, int8_t, int32_t;-, -, mA;;1;1;1;Mux: n = channel number, Cyclic counter individually for each channel, IVT__Result_state 0b0000 .. 0b1111,  I Result as signed long ;IVT;BMS;;;;1;
1314;IVT_Msg_Result_U1;MuxID, IVT_Result_StateIVT_MsgCount, IVT_Msg_Result_U1;int8_t, int8_t, int32_t;-, -, mV;;1;1;1;Mux: n = channel number, Cyclic counter individually for each channel, IVT__Result_state 0b0000 .. 0b1111,  U1 Result as signed long ;IVT;BMS;;;;1;
1315;IVT_Msg_Result_U2;MuxID, IVT_Result_StateIVT_MsgCount, IVT_Msg_Result_U2;int8_t, int8_t, int32_t;-, -, mV;;1;1;1;Mux: n = channel number, Cyclic counter individually for each channel, IVT__Result_state 0b0000 .. 0b1111,  U2 Result as signed long ;IVT;BMS;;;;1;
1316;IVT_Msg_Result_U3;MuxID, IVT_Result_StateIVT_MsgCount, IVT_Msg_Result_U3;int8_t, int8_t, int32_t;-, -, mV;;1;1;1;Mux: n = channel number, Cyclic counter individually for each channel, IVT__Result_state 0b0000 .. 0b1111,  U3 Result as signed long ;IVT;BMS;;;;1;
1317;IVT_Msg_Result_T;MuxID, IVT_Result_StateIVT_MsgCount, IVT_Msg_Result_T;int8_t, int8_t, int32_t;-, -, 0.1°C;;1;1;1;Mux: n = channel number, Cyclic counter individually for each channel, IVT__Result_state 0b0000 .. 0b1111,  T Result as signed long ;IVT;BMS;;;;1;
1318;IVT_Msg_Result_W;MuxID, IVT_Result_StateIVT_MsgCount, IVT_Msg_Result_W;int8_t, int8_t, int32_t;-, -, W;;1;1;1;Mux: n = channel number, Cyclic counter individually for each channel, IVT__Result_state 0b0000 .. 0b1111,  P Result as signed long ;IVT;BMS;;;;1;
1319;IVT_Msg_Result_As;MuxID, IVT_Result_StateIVT_MsgCount, IVT_Msg_Result_As;int8_t, int8_t, int32_t;-, -, As;;1;1;1;Mux: n = channel number, Cyclic counter individually for each channel, IVT__Result_state 0b0000 .. 0b1111,  Q Result as signed long ;IVT;BMS;;2;;1;
1320;IVT_Msg_Result_Wh;MuxID, IVT_Result_StateIVT_MsgCount, IVT_Msg_Result_Wh;int8_t, int8_t, int32_t;-, -, Wh;;1;1;1;Mux: n = channel number, Cyclic counter individually for each channel, IVT__Result_state 0b0000 .. 0b1111,  E Result as signed long ;IVT;BMS;;2;;1;
1409;SAC_TxSDO;command, index, subIndex, data;CANOpenSDOCommand, uint16_t, uint8_t, uint32_t;-, -, -, -;;1;1;1;TxSDO for the Braking Actuator;BAC;ACU;;;;0;
1410;BAC_TxSDO;command, index, subIndex, data;CANOpenSDOCommand, uint16_t, uint8_t, uint32_t;-, -, -, -;;1;1;1;TxSDO for the Steering Actuator;SAC;ACU;;;;0;
1552;CMS_Message;a, b, c, d, e, f, g, h;uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t;-, -, -, -, -, -, -, -;;1;1;1;CMS data;CMS;FUC;;;;1;
1793;SAC_Heartbeat;data;CANOpenHeartbeatData;heartbeat data;;1;1;1;CANopen heartbeat of the steering actuator;SAC;ACU;;;;0;
1794;BAC_Heartbeat;data;CANOpenHeartbeatData;heartbeat data;;1;1;1;CANopen heartbeat of the braking actuator;BAC;ACU;;;;0;
